"frame", "color", "size", "intensity", "x_pos", "y_pos", "id"
"0003.tif", "G", 440, 0.0482757952314078, 1175.44090909091, 595.55, 89
"0003.tif", "G", 310, 0.04647932377251, 134.690322580645, 617.877419354839, 11
"0003.tif", "G", 436, 0.0481466540422609, 637.619266055046, 1438.12385321101, 21
"0003.tif", "G", 338, 0.0484923380871723, 749.532544378698, 919.568047337278, 29
"0003.tif", "G", 258, 0.0438314473261218, 1354.66666666667, 63.9612403100775, 110
"0003.tif", "G", 260, 0.0491628649192201, 809.092307692308, 886.269230769231, 39
"0003.tif", "G", 202, 0.0449063365724809, 625.584158415842, 90.7425742574257, 10
"0003.tif", "G", 298, 0.0471466153674921, 1227.75167785235, 721.194630872483, 91
"0003.tif", "G", 234, 0.0494868763698921, 817.247863247863, 592.512820512821, 58
"0003.tif", "G", 326, 0.0474051666238362, 476.840490797546, 263.834355828221, 139
"0004.tif", "G", 2854, 0.0627969353361415, 717.374912403644, 800.744218640505, 9
"0004.tif", "G", 2702, 0.055591164923157, 351.036269430052, 718.149518874907, 18
"0004.tif", "G", 2526, 0.0565309123892328, 478.000791765637, 696.229612034838, 60
"0004.tif", "G", 2602, 0.0544683370748667, 1165.42044581091, 676.261337432744, 199
"0004.tif", "G", 2446, 0.0548576819117558, 414.183156173344, 598.353229762878, 24
"0004.tif", "G", 2140, 0.0532088893665109, 211.392523364486, 498.963551401869, 5
"0004.tif", "G", 2064, 0.0532276978188926, 1081.03294573643, 1372.6753875969, 75
"0004.tif", "G", 2566, 0.0544857647455414, 296.004676539361, 872.42790335152, 25
"0004.tif", "G", 2124, 0.0541002392933334, 1132.77683615819, 912.024482109228, 7
"0004.tif", "G", 2156, 0.0525981308315469, 600.494434137291, 439.512059369202, 45
"0004.tif", "G", 2286, 0.0545776290291362, 576.402449693788, 615.115485564304, 1
"0004.tif", "G", 2152, 0.0532724984638943, 1189.88940520446, 1094.66635687732, 47
"0004.tif", "G", 1860, 0.0530354891047737, 919.286021505376, 724.639784946237, 108
"0004.tif", "G", 1700, 0.0518010383669504, 878.62, 820.027058823529, 298
"0004.tif", "G", 1948, 0.05402306038119, 521.107802874743, 1065.61088295688, 117
"0004.tif", "G", 2252, 0.0533097446657825, 489.343694493783, 453.233570159858, 81
"0004.tif", "G", 1834, 0.0522718754398485, 1064.60305343511, 890.871319520174, 40
"0004.tif", "G", 1864, 0.0527077388629898, 1192.11480686695, 960.685622317597, 27
"0004.tif", "G", 1698, 0.0509241323106138, 1232.16254416961, 1437.31566548881, 0
"0004.tif", "G", 1880, 0.0519871299505172, 820.56914893617, 355.237234042553, 51
"0004.tif", "G", 1510, 0.0518733626149506, 867.256953642384, 598.348344370861, 34
"0004.tif", "G", 1696, 0.0507830522165552, 1320.63561320755, 649.548349056604, 71
"0004.tif", "G", 1562, 0.0524122362527936, 795.106274007682, 697.174135723432, 54
"0004.tif", "G", 1620, 0.053089569144564, 640.787654320988, 616.896296296296, 0
"0004.tif", "G", 1402, 0.0497409090499799, 982.764621968616, 1441.39800285307, 4
"0004.tif", "G", 1380, 0.0520872907659528, 900.701449275362, 979.895652173913, 109
"0004.tif", "G", 1032, 0.0490620720449947, 1307.56782945736, 724.201550387597, 8
"0004.tif", "G", 1286, 0.0490301937622124, 117.743390357698, 879.911353032659, 64
"0004.tif", "G", 892, 0.0499487415416694, 336.354260089686, 239.47533632287, 78
"0004.tif", "G", 910, 0.0522551174051298, 764.076923076923, 815.679120879121, 22
"0004.tif", "G", 1006, 0.0498861130515327, 718.838966202783, 329.566600397614, 19
"0004.tif", "G", 784, 0.0496288382638425, 1387.15816326531, 1050.84693877551, 79
"0004.tif", "G", 646, 0.0514647949254722, 667.956656346749, 669.12693498452, 17
"0004.tif", "G", 744, 0.0510104145163252, 956.217741935484, 1003.44623655914, 6
"0004.tif", "G", 682, 0.0495521148797509, 1233.8504398827, 723.589442815249, 91
"0004.tif", "G", 780, 0.0495016654231246, 1170.66923076923, 596.007692307692, 89
"0004.tif", "G", 638, 0.0498843186274583, 982.871473354232, 774.868338557994, 122
"0004.tif", "G", 724, 0.0481272520564929, 113.074585635359, 747.790055248619, 188
"0004.tif", "G", 608, 0.0500865917919826, 1079.63815789474, 599.289473684211, 15
"0004.tif", "G", 506, 0.0446064562664814, 45.1304347826087, 330.841897233202, 254
"0004.tif", "G", 480, 0.0482111019040497, 142.079166666667, 615.966666666667, 11
"0004.tif", "G", 528, 0.0454314728400306, 1354.60606060606, 67.8484848484848, 110
"0004.tif", "G", 406, 0.0492858838362204, 1230.82266009852, 1266.18719211823, 136
"0004.tif", "G", 236, 0.0497997940547677, 750.728813559322, 917.35593220339, 29
"0004.tif", "G", 224, 0.0505253257813642, 813.008928571429, 886.4375, 39
"0004.tif", "G", 278, 0.0491994194194371, 1227.32374100719, 255.028776978417, 120
"0004.tif", "G", 354, 0.0505979349230267, 1399.4011299435, 380.909604519774, 284
"0004.tif", "G", 262, 0.0494877868505204, 630.160305343511, 1436.59541984733, 21
"0005.tif", "G", 2910, 0.0587348992794716, 718.397250859107, 800.3264604811, 9
"0005.tif", "G", 2530, 0.0522673349927846, 476.049802371541, 692.18023715415, 60
"0005.tif", "G", 2620, 0.0504866166702398, 1169.34198473282, 675.36106870229, 199
"0005.tif", "G", 2740, 0.0515943333724399, 350.394160583942, 717.724817518248, 18
"0005.tif", "G", 2392, 0.0509775761370878, 414.479933110368, 599.0627090301, 24
"0005.tif", "G", 2234, 0.0494891847435625, 1182.86839749329, 1082.03043867502, 47
"0005.tif", "G", 2096, 0.0495392666642232, 209.374045801527, 499.625, 5
"0005.tif", "G", 2198, 0.0501905316477819, 1133.14649681529, 914.094631483166, 7
"0005.tif", "G", 2338, 0.0508393602268807, 577.561163387511, 617.854576561163, 1
"0005.tif", "G", 2070, 0.0492486825746706, 1081.90821256039, 1374.4154589372, 75
"0005.tif", "G", 2556, 0.0508634722215965, 297.727699530516, 871.799687010955, 25
"0005.tif", "G", 1930, 0.0491160519106085, 918.99792746114, 734.00725388601, 108
"0005.tif", "G", 1888, 0.0504560483833681, 524.319915254237, 1061.99470338983, 117
"0005.tif", "G", 2132, 0.0493887160795374, 482.038461538462, 449.568480300188, 81
"0005.tif", "G", 2118, 0.0489870544690287, 612.974504249292, 441.789423984891, 45
"0005.tif", "G", 1748, 0.0489585981113079, 792.171624713959, 697.605263157895, 54
"0005.tif", "G", 1696, 0.0472133924313442, 1320.85731132075, 650.206367924528, 71
"0005.tif", "G", 1802, 0.0484764077508047, 1066.42397336293, 892.084350721421, 40
"0005.tif", "G", 1674, 0.0472110171798966, 1232.49342891278, 1436.40143369176, 0
"0005.tif", "G", 1808, 0.0485799714831855, 822.653761061947, 356.351769911504, 51
"0005.tif", "G", 1662, 0.0479205673346219, 874.079422382672, 822.767749699158, 82
"0005.tif", "G", 1834, 0.0489647751017462, 1195.04362050164, 958.756815703381, 27
"0005.tif", "G", 1332, 0.0461799461789585, 981.414414414414, 1443.8963963964, 4
"0005.tif", "G", 1606, 0.046514236511226, 972.156911581569, 793.585305105853, 122
"0005.tif", "G", 1410, 0.0482742725023672, 640.221276595745, 617.486524822695, 328
"0005.tif", "G", 1114, 0.0441886283082993, 115.086175942549, 745.466786355476, 188
"0005.tif", "G", 1194, 0.0446070534221074, 115.457286432161, 880.793969849246, 64
"0005.tif", "G", 1334, 0.0452135522299938, 1395.04047976012, 366.607196401799, 284
"0005.tif", "G", 1286, 0.0482352422905478, 904.46500777605, 986.780715396579, 109
"0005.tif", "G", 990, 0.0462296425949855, 1170.37171717172, 601.882828282828, 89
"0005.tif", "G", 910, 0.0460303209193881, 335.263736263736, 239.358241758242, 78
"0005.tif", "G", 934, 0.048591876981488, 765.747323340471, 815.154175588865, 22
"0005.tif", "G", 1070, 0.046893394934993, 869.951401869159, 606.142056074766, 34
"0005.tif", "G", 836, 0.0450400557924233, 1304.39473684211, 729.662679425837, 8
"0005.tif", "G", 828, 0.0456795739029134, 1250.95893719807, 1248.461352657, 136
"0005.tif", "G", 1062, 0.0451714681661768, 1235.84745762712, 724.252354048964, 91
"0005.tif", "G", 736, 0.0457588508189983, 1390.61684782609, 1044.02717391304, 79
"0005.tif", "G", 730, 0.0460931456897971, 1076.12876712329, 599.071232876712, 15
"0005.tif", "G", 812, 0.0455516087059299, 722.0960591133, 326.21921182266, 19
"0005.tif", "G", 534, 0.0473576602112034, 668.831460674157, 662.494382022472, 17
"0005.tif", "G", 746, 0.0468899207947369, 957.563002680965, 1013.61930294906, 6
"0005.tif", "G", 460, 0.0413686525325432, 1353.19565217391, 66.9869565217391, 110
"0005.tif", "G", 576, 0.0412101266991949, 41.7152777777778, 332, 254
"0005.tif", "G", 482, 0.0475119054345637, 795.717842323651, 594.647302904564, 58
"0005.tif", "G", 206, 0.0468505407240247, 625.485436893204, 1435.36893203884, 21
"0006.tif", "G", 2948, 0.0655784169887553, 715.83039348711, 802.694708276798, 9
"0006.tif", "G", 2502, 0.0575505732118117, 1172.19104716227, 680.047961630695, 199
"0006.tif", "G", 2580, 0.0579324961747562, 353.527131782946, 717.713178294574, 18
"0006.tif", "G", 2434, 0.0593095554329542, 474.425636811832, 690.935907970419, 60
"0006.tif", "G", 2408, 0.0578040418570843, 414.139534883721, 595.96926910299, 24
"0006.tif", "G", 2220, 0.0565049985204062, 1184.3036036036, 1078.22882882883, 47
"0006.tif", "G", 2016, 0.0563708544816728, 205.525793650794, 496.14880952381, 5
"0006.tif", "G", 2320, 0.0583684333243396, 578.506034482759, 621.081896551724, 1177
"0006.tif", "G", 2042, 0.0557625584572862, 1082.44270323213, 1373.98726738492, 75
"0006.tif", "G", 2432, 0.057851327708457, 300.325657894737, 870.795230263158, 25
"0006.tif", "G", 2162, 0.0573140824693822, 1135.5559666975, 913.641998149861, 7
"0006.tif", "G", 1842, 0.0578490763662193, 523.308360477742, 1057.89359391965, 117
"0006.tif", "G", 1818, 0.0542344858374229, 973.635863586359, 801.316831683168, 122
"0006.tif", "G", 1804, 0.0540546855332194, 1322.77937915743, 648.606430155211, 71
"0006.tif", "G", 1788, 0.0555502286018482, 793.889261744966, 702.079418344519, 54
"0006.tif", "G", 2070, 0.0566377048363683, 480.36231884058, 448.264734299517, 81
"0006.tif", "G", 1922, 0.0556968203347462, 1066.80749219563, 895.508844953174, 40
"0006.tif", "G", 1652, 0.0541095109436317, 1231.00484261501, 1435.59685230024, 0
"0006.tif", "G", 1752, 0.0559701141092844, 1198.12442922374, 959.462328767123, 27
"0006.tif", "G", 1846, 0.056035086549566, 922.663055254605, 740.299024918743, 108
"0006.tif", "G", 1604, 0.0548498327253274, 869.143391521197, 821.981296758105, 82
"0006.tif", "G", 1700, 0.0537366495716504, 618.362352941176, 437.323529411765, 45
"0006.tif", "G", 1402, 0.0554611259686441, 904.101283880171, 985.041369472183, 109
"0006.tif", "G", 1448, 0.0525973755340278, 982.17955801105, 1443.4046961326, 4
"0006.tif", "G", 1448, 0.0549420347392211, 874.198895027624, 609.660220994475, 34
"0006.tif", "G", 1436, 0.0531313424932028, 1393.74651810585, 355.733983286908, 284
"0006.tif", "G", 1384, 0.0557657633287645, 642.119942196532, 619.134393063584, 0
"0006.tif", "G", 1900, 0.0554786474695064, 824.751578947368, 355.447368421053, 51
"0006.tif", "G", 1068, 0.0514529312603907, 117.024344569288, 743.086142322097, 188
"0006.tif", "G", 1246, 0.0515317790936124, 116.247191011236, 883.961476725522, 64
"0006.tif", "G", 1022, 0.0567069543168445, 760.718199608611, 812.297455968689, 22
"0006.tif", "G", 952, 0.0535497425548676, 964.021008403361, 1029.81512605042, 6
"0006.tif", "G", 1286, 0.0525858857210626, 729.744945567652, 324.42768273717, 19
"0006.tif", "G", 972, 0.0530718546955293, 1075.8353909465, 610.594650205761, 15
"0006.tif", "G", 926, 0.0531686047816918, 334.920086393089, 236.082073434125, 78
"0006.tif", "G", 702, 0.052552521769784, 1174.00854700855, 602.900284900285, 89
"0006.tif", "G", 840, 0.0521465811145288, 1304, 733.12619047619, 8
"0006.tif", "G", 704, 0.0525395017987633, 1395.59943181818, 1040.88068181818, 79
"0006.tif", "G", 690, 0.0476400140616997, 45.4898550724638, 333.063768115942, 254
"0006.tif", "G", 640, 0.0516597719266682, 135.9, 621.68125, 11
"0006.tif", "G", 498, 0.0532790091371423, 821.690763052209, 891.285140562249, 39
"0006.tif", "G", 460, 0.0516728289669932, 1246.38695652174, 725.634782608696, 91
"0006.tif", "G", 350, 0.0509346428743336, 1441.17142857143, 1282.12, 85
"0006.tif", "G", 364, 0.0533402672773355, 1120.86813186813, 1105.65384615385, 13
"0006.tif", "G", 672, 0.052165060015143, 1260.28869047619, 1237.96428571429, 136
"0006.tif", "G", 310, 0.0524571169452175, 746.458064516129, 918.961290322581, 29
"0006.tif", "G", 424, 0.0539469311212213, 790.306603773585, 600.844339622642, 58
"0006.tif", "G", 338, 0.0522653581344897, 621.733727810651, 1433.69822485207, 21
"0006.tif", "G", 202, 0.0534839209153934, 267.960396039604, 744.564356435644, 0
"0006.tif", "G", 212, 0.0542810982670532, 671.481132075472, 654.962264150943, 17
"0006.tif", "G", 250, 0.0482629280572653, 1351.16, 66.504, 110
"0007.tif", "G", 2428, 0.054108758557458, 1177.98105436573, 688.207578253707, 199
"0007.tif", "G", 2428, 0.0549555351882575, 412.76194398682, 594.036243822076, 24
"0007.tif", "G", 2832, 0.0628075908516955, 708.526836158192, 813.464689265537, 9
"0007.tif", "G", 2540, 0.0545265079880535, 353.903149606299, 717.58031496063, 18
"0007.tif", "G", 2464, 0.05538605821199, 472.969155844156, 688.269480519481, 60
"0007.tif", "G", 2234, 0.0536951566076853, 1185.69113697404, 1079.30975828111, 47
"0007.tif", "G", 2278, 0.0550512674190455, 578.588235294118, 622.488147497805, 1
"0007.tif", "G", 2094, 0.0534254143561902, 202.858643744031, 495.489971346705, 5
"0007.tif", "G", 1972, 0.0524391971660019, 924.361054766734, 741.596348884381, 108
"0007.tif", "G", 2186, 0.0535695592287507, 479.307410795974, 447.36505032022, 81
"0007.tif", "G", 2510, 0.0553043254859819, 301.244621513944, 870.900398406375, 25
"0007.tif", "G", 2168, 0.0534861425083944, 1136.44557195572, 912.610701107011, 7
"0007.tif", "G", 2010, 0.0524317507905078, 1084.14726368159, 1373.73930348259, 75
"0007.tif", "G", 2002, 0.051856468614858, 975.258741258741, 806.939060939061, 122
"0007.tif", "G", 1856, 0.0527118218896783, 793.04525862069, 708.769396551724, 54
"0007.tif", "G", 1748, 0.0541842484180855, 518.281464530892, 1058.37528604119, 117
"0007.tif", "G", 1914, 0.0526940122638243, 1068.44305120167, 901.181818181818, 40
"0007.tif", "G", 2034, 0.0531218378741117, 1197.51425762045, 960.405113077679, 27
"0007.tif", "G", 1906, 0.0516749459315956, 1322.83840503673, 649.344176285415, 71
"0007.tif", "G", 1616, 0.0513293175353831, 1229.46905940594, 1434.51856435644, 0
"0007.tif", "G", 1472, 0.0498007759047691, 983.896739130435, 1442.97010869565, 4
"0007.tif", "G", 1700, 0.0508734727068845, 609.803529411765, 440.234117647059, 45
"0007.tif", "G", 1900, 0.0522200520765125, 824.582105263158, 354.769473684211, 51
